2.05,0.43
2.05,0.76
1.75,0.70
1.82,0.84
1.69,0.91
1.62,0.74
1.83,0.73
1.71,0.61
1.77,0.66
1.83,0.67
1.72,0.72
1.70,0.70
2.00,0.66
1.45,0.70
1.89,0.71
1.71,0.77
1.81,0.77
1.93,0.68
1.76,0.84
2.12,0.64
2.07,0.71
2.09,0.69
2.10,0.68
1.85,0.62
1.86,0.55
1.71,0.59
1.77,0.53
1.69,0.79
1.76,1.02
1.98,0.97
1.82,0.65
1.68,0.61
1.73,0.76
1.75,0.84
1.62,0.87
1.73,0.71
2.03,0.82
1.66,0.82
1.62,0.91
1.70,0.97
2.08,1.01
1.77,0.73
1.74,0.89
1.98,0.90
1.89,0.68
1.76,0.77
1.85,0.76
2.06,0.90
1.75,0.74
1.70,1.03
1.68,0.79
2.04,0.63
1.81,0.61
