2.86,3.03
2.98,3.02
2.88,3.32
1.93,2.83
2.36,2.77
3.68,2.99
2.28,2.82
2.27,2.89
2.44,2.77
3.39,2.89
2.57,2.74
2.16,2.65
2.97,2.68
2.68,2.79
2.26,3.42
2.34,2.91
2.90,2.68
2.13,3.09
2.38,2.72
2.31,2.84
3.18,2.89
2.50,2.79
2.05,2.58
2.06,2.52
2.38,2.94
1.90,2.67
2.97,3.04
2.60,2.94
2.09,3.10
2.87,3.28
3.15,2.71
1.93,2.88
3.08,3.23
2.68,2.69
2.35,2.76
3.16,3.03
2.66,2.79
2.49,3.01
3.07,3.04
2.05,2.80
3.20,2.67
2.73,3.30
2.45,3.00
2.98,2.66
2.12,3.65
2.79,3.11
2.76,2.67
2.44,2.98
2.34,2.80
3.37,2.63
2.08,2.33
2.43,2.87
2.49,2.26
