3.69,6.54
3.88,6.42
4.26,5.88
3.60,6.05
4.01,6.56
3.96,7.28
3.89,6.33
4.87,7.77
4.23,7.84
4.95,8.98
5.46,8.61
5.33,9.48
5.65,9.40
6.24,9.16
7.69,9.06
4.02,9.45
6.08,7.79
6.04,9.33
5.24,6.92
3.27,5.71
3.20,5.42
3.17,5.25
3.58,5.37
3.52,6.29
4.41,6.57
3.97,7.53
3.84,7.98
3.57,7.10
4.54,6.02
5.56,9.29
7.38,9.83
4.34,9.60
7.43,9.62
4.22,8.01
6.41,9.47
4.84,8.01
5.48,9.09
7.33,8.87
4.27,7.58
5.32,8.33
7.27,9.21
5.74,6.59
3.70,7.80
4.09,7.04
6.00,9.13
5.68,7.02
4.37,7.10
4.79,7.59
5.50,7.51
4.62,8.58
6.14,7.00
